Number,Species,Plot_Trans_Survey,Date,Lat,Long
2,EWIL,13-4-6/16/2012,06/16/2012,35.598798,-83.402009
4,PJOR,13-4-6/16/2012,06/16/2012,35.598798,-83.402009
1,DWRI,13-4-6/16/2012,06/16/2012,35.598798,-83.402009
3,EWIL,13-4-6/16/2012,06/16/2012,35.598798,-83.402009
1,PJOR,13-4-6/16/2012,06/16/2012,35.598798,-83.402009
2,DWRI,13-4-6/16/2012,06/16/2012,35.598798,-83.402009
1,DOCO,13-4-6/16/2012,06/16/2012,35.598798,-83.402009
6,PJOR,13-4-6/16/2012,06/16/2012,35.598798,-83.402009
8,PJOR,13-4-6/16/2012,06/16/2012,35.598798,-83.402009
1,EWIL,14-1-6/15/2012,06/15/2012,35.600065,-83.408523
1,DOCO,14-1-6/15/2012,06/15/2012,35.600065,-83.408523
1,DOCO,14-1-6/15/2012,06/15/2012,35.600065,-83.408523
1,PJOR,14-1-6/15/2012,06/15/2012,35.600065,-83.408523
0,NA,14-1-6/15/2012,06/15/2012,35.600065,-83.408523
1,EWIL,14-1-6/15/2012,06/15/2012,35.600065,-83.408523
1,PJOR,14-1-6/15/2012,06/15/2012,35.600065,-83.408523
1,DOCO,14-2-6/15/2012,06/15/2012,35.60011,-83.408492
0,NA,14-2-6/15/2012,06/15/2012,35.60011,-83.408492
3,EWIL,14-2-6/15/2012,06/15/2012,35.60011,-83.408492
0,NA,14-2-6/15/2012,06/15/2012,35.60011,-83.408492
0,NA,14-2-6/15/2012,06/15/2012,35.60011,-83.408492
2,PJOR,14-3-6/15/2012,06/15/2012,35.600143,-83.408405
1,EWIL,14-3-6/15/2012,06/15/2012,35.600143,-83.408405
2,PJOR,14-3-6/15/2012,06/15/2012,35.600143,-83.408405
2,EWIL,14-3-6/15/2012,06/15/2012,35.600143,-83.408405
1,PJOR,14-3-6/15/2012,06/15/2012,35.600143,-83.408405
0,NA,14-3-6/15/2012,06/15/2012,35.600143,-83.408405
